"FILE";"ROW";"PRDKEY";"YEAR";"MONTH";"INDICODECR";"COICOP";"DESCRIZIONE";"MARCA";"FORMATO";"MERCATO";"FAMIGLIA";"EAN";"TURNOVERCURR";"QUANTITYCURR";"PRICECURR";"COUNTPDVCURR";"TURNOVERPREV";"QUANTITYPREV";"PRICEPREV";"COUNTPDVPREV";"VTURNOVER";"VPRICE";"DESC";"DESCRIZIONE1";"UNITA";"QUANTITA";"UNITA.QUANTITA";"fm.d";"REGOLA"
"A";"46";"51598135";"2020";"5";"01010105";"01.1.1.4.2.00";"DOGHOUSE SAPORI SIENA SAPORI COLOMBELLE PASTIC.SENZA FARINA 06 ALTRE VARIETA' MANDORLA.AGRUMI UNITIPO SACCHETTO 01 00127.00 GR NOBIO PORZIONATA";"SAPORI";"127GR";"Pasticceria Altra Unitipo";"PASTICCERIA";"8002590061388";"1661.58";"1405";"1.18";"160";"7659.67";"4427";"1.73";"318";"-78.3074205546714";"-31.6490752993099";"DOGHOUSE  SIENA  COLOMBELLE PASTIC.SENZA FARINA 06 ALTRE VARIETA' MANDORLA.AGRUMI UNITIPO SACCHETTO 01 00127.00 GR NOBIO PORZIONATA";"DOGHOUSE SAPORI SIENA SAPORI COLOMBELLE PASTIC.SENZA FARINA 06 ALTRE VARIETA' MANDORLA.AGRUMI UNITIPO SACCHETTO 01 00127.00 GR NOBIO PORZIONATA";"GR";"127";"GR|127";0.999999997438312;"2"
"B";"94099";"50560816";"2020";"5";"01010105";"01.1.1.4.2.00";"DOGHOUSE SAPORI SIENA SAPORI COLOMBELLE PASTIC.SENZA FARINA 01 ALTRE VARIETA' MANDORLA.AGRUMI UNITIPO 01 00170.00 GR NOBIO NON PORZ.";"SAPORI";"170GR";"Pasticceria Altra Unitipo";"PASTICCERIA";"8002590061272";"1818.7";"845";"2.15";"105";"8190.71";"2990";"2.74";"238";"-77.795575719321";"-21.430498699136";"DOGHOUSE  SIENA  COLOMBELLE PASTIC.SENZA FARINA 01 ALTRE VARIETA' MANDORLA.AGRUMI UNITIPO 01 00170.00 GR NOBIO NON PORZ.";"DOGHOUSE SAPORI SIENA SAPORI COLOMBELLE PASTIC.SENZA FARINA 01 ALTRE VARIETA' MANDORLA.AGRUMI UNITIPO 01 00170.00 GR NOBIO NON PORZ.";"GR";"170";"GR|170";0.999999997438312;"2"
"A";"159";"26706354";"2020";"5";"05040402";"05.6.1.2.0.00";"GUARDINI GUARDINI EASY BAKE CONT.ALLUM S/COP CARTA FORNO 1 002 PZ";"GUARDINI";"2UNI";"Sacc/Vasc per Alimenti Vaschette";"SACCHETTI e VASCHETTE PER ALIMENTI";"8006043010206";"256.88";"145";"1.77";"19";"5630.57";"1950";"2.89";"109";"-95.437762073822";"-38.645765820365";"  EASY BAKE CONT.ALLUM S/COP CARTA FORNO 1 002 PZ";"GUARDINI GUARDINI EASY BAKE CONT.ALLUM S/COP CARTA FORNO 1 002 PZ";"UNI";"2";"UNI|2";1;"2"
"B";"76972";"32282129";"2020";"5";"05040402";"05.6.1.2.0.00";"GUARDINI GUARDINI EASY BAKE CONT.ALLUM S/COP CARTA FORNO 1 003 PZ";"GUARDINI";"3UNI";"Sacc/Vasc per Alimenti Vaschette";"SACCHETTI e VASCHETTE PER ALIMENTI";"8006043008685";"187.55";"47";"3.99";"21";"163.31";"46";"3.55";"54";"14.8429367460658";"12.3994700067878";"  EASY BAKE CONT.ALLUM S/COP CARTA FORNO 1 003 PZ";"GUARDINI GUARDINI EASY BAKE CONT.ALLUM S/COP CARTA FORNO 1 003 PZ";"UNI";"3";"UNI|3";1;"2"
"A";"81";"2694587";"2020";"5";"05040501";"05.6.1.2.0.00";"MECO MECO STD ROT NERO BUSTA 50X60 1 020 SAC";"MECO";"20UNI";"Sacchetti Spazzatura Piccoli";"SACCHETTI SPAZZATURA";"8000962000508";"297.47";"145";"2.05";"18";"1167.27";"316";"3.69";"19";"-74.5157504262082";"-44.4619112736674";"  STD ROT NERO BUSTA 50X60 1 020 SAC";"MECO MECO STD ROT NERO BUSTA 50X60 1 020 SAC";"UNI";"20";"UNI|20";0.999999999999922;"2"
"B";"50523";"698892";"2020";"5";"05040501";"05.6.1.2.0.00";"MECO MECO STD ROT NERO BUSTA 50X55 1 030 SAC";"MECO";"30UNI";"Sacchetti Spazzatura Piccoli";"SACCHETTI SPAZZATURA";"8000962000485";"410";"430";"0.95";"21";"506.86";"524";"0.97";"21";"-19.1098133606913";"-1.42684232791221";"  STD ROT NERO BUSTA 50X55 1 030 SAC";"MECO MECO STD ROT NERO BUSTA 50X55 1 030 SAC";"UNI";"30";"UNI|30";0.999999999999922;"2"
"A";"13";"2520904";"2020";"5";"01010503";"01.1.1.4.2.00";"LOISON NOBIO LOISON STD TONDA SEMPLICE FOCACCIA CLASS 1 00700 GR TORTE.PRONTE";"LOISON";"700GR";"Torte Pronte Altre";"TORTE PRONTE";"8003475010118";"92.69";"49";"1.89";"9";"765.41";"182";"4.21";"31";"-87.8901503769222";"-55.0205585428538";" NOBIO  STD TONDA SEMPLICE FOCACCIA CLASS 1 00700 GR TORTE.PRONTE";"LOISON NOBIO LOISON STD TONDA SEMPLICE FOCACCIA CLASS 1 00700 GR TORTE.PRONTE";"GR";"700";"GR|700";1;"2"
"B";"91604";"4556736";"2020";"5";"01010503";"01.1.1.4.2.00";"LOISON NOBIO LOISON STD TONDA SEMPLICE FOCACCIA CLASS 1 00400 GR TORTE.PRONTE";"LOISON";"400GR";"Torte Pronte Altre";"TORTE PRONTE";"8003475002014";"113.38";"49";"2.31";"9";"1092.03";"408";"2.68";"22";"-89.6175013506955";"-13.5498071649747";" NOBIO  STD TONDA SEMPLICE FOCACCIA CLASS 1 00400 GR TORTE.PRONTE";"LOISON NOBIO LOISON STD TONDA SEMPLICE FOCACCIA CLASS 1 00400 GR TORTE.PRONTE";"GR";"400";"GR|400";1;"2"
"A";"80";"26416052";"2020";"5";"01010503";"01.1.1.4.2.00";"S.ANGELO S.ANGELO NOBIO TONDA SEMPLICE PASQUALINA PIZZA DOLCE GLASSA TORTA 1 00500 TORTE.PRONTE GR";"S.ANGELO";"500GR";"Torte Pronte Altre";"TORTE PRONTE";"8003896000927";"59.15";"27";"2.19";"14";"1337.59";"417";"3.21";"36";"-95.5778676575034";"-31.7026227103306";"  NOBIO TONDA SEMPLICE PASQUALINA PIZZA DOLCE GLASSA TORTA 1 00500 TORTE.PRONTE GR";"S.ANGELO S.ANGELO NOBIO TONDA SEMPLICE PASQUALINA PIZZA DOLCE GLASSA TORTA 1 00500 TORTE.PRONTE GR";"GR";"500";"GR|500";0.999999999861295;"2"
"B";"109508";"9114703";"2020";"5";"01010503";"01.1.1.4.2.00";"S.ANGELO S.ANGELO NOBIO TONDA SEMPLICE PIZZA DOLCE CLASS TORTA 1 00800 TORTE.PRONTE GR";"S.ANGELO";"800GR";"Torte Pronte Altre";"TORTE PRONTE";"8003896000217";"50.14";"16";"3.13";"6";"506.31";"148";"3.42";"11";"-90.0969761608501";"-8.39702948786317";"  NOBIO TONDA SEMPLICE PIZZA DOLCE CLASS TORTA 1 00800 TORTE.PRONTE GR";"S.ANGELO S.ANGELO NOBIO TONDA SEMPLICE PIZZA DOLCE CLASS TORTA 1 00800 TORTE.PRONTE GR";"GR";"800";"GR|800";0.999999999861295;"2"
"A";"206";"8223067";"2020";"5";"01010503";"01.1.1.4.2.00";"IL FORNAIO FORNO DEL CASALE NOBIO TONDA SEMPLICE ALLEGRA GRANELLA FOCACCIA 1 00400 TORTE.PRONTE GR";"FORNO DEL CASALE";"400GR";"Torte Pronte Altre";"TORTE PRONTE";"8015854145014";"222.67";"110";"2.02";"24";"1332.03";"433";"3.08";"100";"-83.2834095328183";"-34.1974211610031";"IL FORNAIO  NOBIO TONDA SEMPLICE ALLEGRA GRANELLA FOCACCIA 1 00400 TORTE.PRONTE GR";"IL FORNAIO FORNO DEL CASALE NOBIO TONDA SEMPLICE ALLEGRA GRANELLA FOCACCIA 1 00400 TORTE.PRONTE GR";"GR";"400";"GR|400";0.999999825321036;"2"
"B";"99477";"5690520";"2020";"5";"01010503";"01.1.1.4.2.00";"IL FORNAIO NOBIO FORNO DEL CASALE STD TONDA SEMPLICE FOCACCIA GLASSA GRANELLA 1 00650 GR TORTE.PRONTE";"FORNO DEL CASALE";"650GR";"Torte Pronte Altre";"TORTE PRONTE";"8015854320756";"56";"16";"3.5";"1";"77";"22";"3.5";"1";"-27.2727272727273";"0";"IL FORNAIO NOBIO  STD TONDA SEMPLICE FOCACCIA GLASSA GRANELLA 1 00650 GR TORTE.PRONTE";"IL FORNAIO NOBIO FORNO DEL CASALE STD TONDA SEMPLICE FOCACCIA GLASSA GRANELLA 1 00650 GR TORTE.PRONTE";"GR";"650";"GR|650";0.999999825321036;"2"
"A";"31";"42484945";"2020";"5";"01010503";"01.1.1.4.2.00";"PALUANI NOBIO PALUANI UOVO COCO E CIOCCOLATO FARC AST CR.COCCO.CIOCCOLATO.SCAGLIETTE COCCO 1 0750 GR TORTERICORRENZA";"PALUANI";"750GR";"Torte Pronte Altre";"TORTE PRONTE";"8002540013207";"497.15";"232";"2.14";"24";"3712.13";"1123";"3.31";"66";"-86.6074194599866";"-35.172982989504";" NOBIO  UOVO COCO E CIOCCOLATO FARC AST CR.COCCO.CIOCCOLATO.SCAGLIETTE COCCO 1 0750 GR TORTERICORRENZA";"PALUANI NOBIO PALUANI UOVO COCO E CIOCCOLATO FARC AST CR.COCCO.CIOCCOLATO.SCAGLIETTE COCCO 1 0750 GR TORTERICORRENZA";"GR";"750";"GR|750";0.964144827988031;"3"
"B";"149463";"49802732";"2020";"5";"01010503";"01.1.1.4.2.00";"PALUANI NOBIO PALUANI DOLCE CUORE FARC AST MIRTILLI ROSSI.GOCCE CIOCCOLATO 1 0160 GR TORTERICORRENZA";"PALUANI";NA;"Torte Pronte Altre";"TORTE PRONTE";"8002540003703";"1702.47";"2067";"0.82";"178";"2374.56";"1678";"1.42";"294";"-28.3037699615929";"-41.7966744052022";" NOBIO  DOLCE CUORE FARC AST MIRTILLI ROSSI.GOCCE CIOCCOLATO 1 0160 GR TORTERICORRENZA";"PALUANI NOBIO PALUANI DOLCE CUORE FARC AST MIRTILLI ROSSI.GOCCE CIOCCOLATO 1 0160 GR TORTERICORRENZA";NA;NA;NA;0.964144827988031;"3"
"A";"202";"59526290";"2020";"5";"01010503";"01.1.1.4.2.00";"MELEGATTI MELEGATTI NOBIO TONDA SEMPLICE DOLCE CLASS FOCACCIA 1 00600 TORTE.PRONTE GR";"MELEGATTI";"600GR";"Torte Pronte Altre";"TORTE PRONTE";"8002630100091";"93.73";"48";"1.95";"9";"2454.92";"875";"2.81";"24";"-96.1819529760644";"-30.4001844595072";"  NOBIO TONDA SEMPLICE DOLCE CLASS FOCACCIA 1 00600 TORTE.PRONTE GR";"MELEGATTI MELEGATTI NOBIO TONDA SEMPLICE DOLCE CLASS FOCACCIA 1 00600 TORTE.PRONTE GR";"GR";"600";"GR|600";0.940103721975703;"2"
"B";"79482";"34588195";"2020";"5";"01010503";"01.1.1.4.2.00";"MELEGATTI NOBIO MELEGATTI LA PASTIERA FARC AST RICOTTA.GRANO SARAC. 1 0400 GR TORTERICORRENZA FACE17";"MELEGATTI";"400GR";"Torte Pronte Altre";"TORTE PRONTE";"8002630010895";"358.21";"322";"1.11";"28";"3423.51";"2172";"1.58";"172";"-89.5367619782037";"-29.4218851449017";" NOBIO  LA PASTIERA FARC AST RICOTTA.GRANO SARAC. 1 0400 GR TORTERICORRENZA FACE17";"MELEGATTI NOBIO MELEGATTI LA PASTIERA FARC AST RICOTTA.GRANO SARAC. 1 0400 GR TORTERICORRENZA FACE17";"GR";"400";"GR|400";0.940103721975703;"2"
