A;49733832;2020;5;01010503;01.1.1.4.2.00;GR;650
B;58544224;2020;5;01010503;01.1.1.4.2.00;GR;650
A;36610840;2020;5;01010503;01.1.1.4.2.00;GR;450
B;5728144;2020;5;01010503;01.1.1.4.2.00;GR;450
A;42551381;2020;5;01010503;01.1.1.4.2.00;GR;500
B;4270287;2020;5;01010503;01.1.1.4.2.00;GR;500
A;51586495;2020;5;01010503;01.1.1.4.2.00;GR;400
B;25234476;2020;5;01010503;01.1.1.4.2.00;GR;400
A;42330648;2020;5;01010503;01.1.1.4.2.00;GR;600
B;42330562;2020;5;01010503;01.1.1.4.2.00;GR;650
A;36517196;2020;5;01010503;01.1.1.4.2.00;GR;500
B;9863054;2020;5;01010503;01.1.1.4.2.00;GR;400
A;647767;2020;5;01010503;01.1.1.4.2.00;GR;600
B;49971156;2020;5;01010503;01.1.1.4.2.00;GR;650
A;53656132;2020;5;01010503;01.1.1.4.2.00;GR;600
B;47898562;2020;5;01010503;01.1.1.4.2.00;GR;500
A;23813322;2020;5;02030101;02.1.2.1.2.00;ML;750
B;32864164;2020;5;02030101;02.1.2.1.2.00;ML;750
A;664015;2020;5;02030102;02.1.2.1.2.00;ML;750
B;650619;2020;5;02030102;02.1.2.1.2.00;ML;750
