"FILE";"ROW";"PRDKEY";"YEAR";"MONTH";"INDICODECR";"COICOP";"DESCRIZIONE";"MARCA";"FORMATO";"MERCATO";"FAMIGLIA";"EAN";"TURNOVERCURR";"QUANTITYCURR";"PRICECURR";"COUNTPDVCURR";"TURNOVERPREV";"QUANTITYPREV";"PRICEPREV";"COUNTPDVPREV";"VTURNOVER";"VPRICE";"DESC";"DESCRIZIONE1";"UNITA";"QUANTITA";"UNITA.QUANTITA";"fm.d"
"A";"199";"584049";"2020";"5";"01020207";"01.1.8.4.0.00";"CIDNEO MORBIDOSI OVETTI E GALLINE NORM SAC GOM SCART FRUTTA 00200.0 1 GR NOBIO";"MORBIDOSI";"200GR";"Caramelle Gommose";"CARAMELLE";"8000038015719";"191.18";"142";"1.35";"31";"1303.85";"651";"2";"137";"-85.3372703915328";"-32.7786128513228";"CIDNEO  OVETTI E GALLINE NORM SAC GOM SCART FRUTTA 00200.0 1 GR NOBIO";"CIDNEO MORBIDOSI OVETTI E GALLINE NORM SAC GOM SCART FRUTTA 00200.0 1 GR NOBIO";"GR";"200";"GR|200";1
"B";"157799";"584096";"2020";"5";"01020207";"01.1.8.4.0.00";"CIDNEO MORBIDOSI STD NORM SAC GOM SCART FRUTTA 00200.0 1 GR NOBIO";"MORBIDOSI";"200GR";"Caramelle Gommose";"CARAMELLE";"8000038015917";"330.63";"153";"2.16";"38";"212.23";"97";"2.19";"147";"55.7885313103708";"-1.23210760061458";"CIDNEO  STD NORM SAC GOM SCART FRUTTA 00200.0 1 GR NOBIO";"CIDNEO MORBIDOSI STD NORM SAC GOM SCART FRUTTA 00200.0 1 GR NOBIO";"GR";"200";"GR|200";1
"A";"112";"47978166";"2020";"5";"03091003";"01.1.9.4.0.00";"NUOVAJOLLI NUOVAJOLLI INS.RUSSA C/TONNO INSALATE STD 1 01000 VERD.TONNO GR NOBIO";"NUOVAJOLLI";"1000GR";"Fresco Altri Piatti Pronti - Insalate";"FRESCO ALTRI PIATTI PRONTI";"8005701010169";"296.7";"172";"1.73";"48";"3712.28";"1393";"2.66";"127";"-92.0076071848029";"-35.2709116769209";"  INS.RUSSA C/TONNO INSALATE STD 1 01000 VERD.TONNO GR NOBIO";"NUOVAJOLLI NUOVAJOLLI INS.RUSSA C/TONNO INSALATE STD 1 01000 VERD.TONNO GR NOBIO";"GR";"1000";"GR|1000";0.999999923996558
"B";"37565";"47925322";"2020";"5";"03091003";"01.1.9.4.0.00";"NUOVAJOLLI NUOVAJOLLI NOBIO STD INSALATE INS.RUSSA VEGETALE 1 01000 GR";"NUOVAJOLLI";"1000GR";"Fresco Altri Piatti Pronti - Insalate";"FRESCO ALTRI PIATTI PRONTI";"8005701010244";"81.15";"30";"2.71";"7";"39.36";"14";"2.81";"26";"106.173780487805";"-3.78556910569106";"  NOBIO STD INSALATE INS.RUSSA VEGETALE 1 01000 GR";"NUOVAJOLLI NUOVAJOLLI NOBIO STD INSALATE INS.RUSSA VEGETALE 1 01000 GR";"GR";"1000";"GR|1000";0.999999923996558
"A";"129";"7853601";"2020";"5";"01220404";"01.1.6.3.0.00";"STELLA SUD STELLA SUD NOBIO AMARENE STD SCAT 1 0180 GR";"STELLA SUD";"180GR";"Frutta Ricoperta e Pralinata";"FRUTTA ESSICATA DISIDRATATA E RICOPERTA";"8000352001016";"105.06";"108";"0.97";"15";"824.04";"387";"2.13";"39";"-87.2506189019951";"-54.3147177321489";"  NOBIO AMARENE STD SCAT 1 0180 GR";"STELLA SUD STELLA SUD NOBIO AMARENE STD SCAT 1 0180 GR";"GR";"180";"GR|180";0.996046913564598
"B";"106221";"7146686";"2020";"5";"01220404";"01.1.6.3.0.00";"STELLA SUD STELLA SUD NOBIO MANDORLE STD SCAT 1 0180 GR";"STELLA SUD";"180GR";"Frutta Ricoperta e Pralinata";"FRUTTA ESSICATA DISIDRATATA E RICOPERTA";"8000352999795";"75.53";"34";"2.22";"10";"43.76";"17";"2.57";"36";"72.6005484460695";"-13.6997257769653";"  NOBIO MANDORLE STD SCAT 1 0180 GR";"STELLA SUD STELLA SUD NOBIO MANDORLE STD SCAT 1 0180 GR";"GR";"180";"GR|180";0.996046913564598
"A";"179";"4565075";"2020";"5";"01220305";"01.1.6.3.0.00";"ALFANO ALFANO NOCI GRENOBLE GUSCIO BUST 1 0500 GR NOBIO";"ALFANO";"500GR";"Frutta Secca con guscio Noci";"FRUTTA SECCA CON GUSCIO";"8006440012346";"80.38";"60";"1.34";"4";"19451.36";"7891";"2.47";"77";"-99.586764113152";"-45.6525936147053";"  NOCI GRENOBLE GUSCIO BUST 1 0500 GR NOBIO";"ALFANO ALFANO NOCI GRENOBLE GUSCIO BUST 1 0500 GR NOBIO";"GR";"500";"GR|500";0.999991810699435
"B";"61941";"1452887";"2020";"5";"01220305";"01.1.6.3.0.00";"ALFANO ALFANO NOCI JUMBO USA GUSCIO 1 0500 GR NOBIO";"ALFANO";"500GR";"Frutta Secca con guscio Noci";"FRUTTA SECCA CON GUSCIO";"8006440012285";"1034.26";"469";"2.21";"11";"34176.61";"14438";"2.37";"77";"-96.9737782653107";"-6.83882855982036";"  NOCI JUMBO USA GUSCIO 1 0500 GR NOBIO";"ALFANO ALFANO NOCI JUMBO USA GUSCIO 1 0500 GR NOBIO";"GR";"500";"GR|500";0.999991810699435
"A";"36";"44228160";"2020";"5";"04010201";"01.1.8.5.0.00";"SOC.AGR.FIORENTINI ANGE.STEFANO CASCINA BIRAGA NOBIO SECCHIELLO STD 00250.0 MENTA.CIOCCOLATO GR GELATO 1";"CASCINA BIRAGA";"250GR";"Gelati Vaschette - Fino a 299 Gr";"GELATI VASCHETTE";"8057829291524";"27.38";"11";"2.49";"2";"127.11";"34";"3.74";"8";"-78.4596019195972";"-33.4205877514823";"SOC.AGR.FIORENTINI ANGE.STEFANO  NOBIO SECCHIELLO STD 00250.0 MENTA.CIOCCOLATO GR GELATO 1";"SOC.AGR.FIORENTINI ANGE.STEFANO CASCINA BIRAGA NOBIO SECCHIELLO STD 00250.0 MENTA.CIOCCOLATO GR GELATO 1";"GR";"250";"GR|250";0.959257779870901
"B";"89129";"44532225";"2020";"5";"04010201";"01.1.8.5.0.00";"SOC.AGR.FIORENTINI ANGE.STEFANO CASCINA BIRAGA NOBIO SECCHIELLO STD 00250.0 MENTA.CIOCCOLATO GR GELATO FACE18 1";"CASCINA BIRAGA";"250GR";"Gelati Vaschette - Fino a 299 Gr";"GELATI VASCHETTE";"8057829290077";"77.6";"22";"3.53";"5";"85.03";"24";"3.54";"11";"-8.73809243796307";"-0.441555386868806";"SOC.AGR.FIORENTINI ANGE.STEFANO  NOBIO SECCHIELLO STD 00250.0 MENTA.CIOCCOLATO GR GELATO FACE18 1";"SOC.AGR.FIORENTINI ANGE.STEFANO CASCINA BIRAGA NOBIO SECCHIELLO STD 00250.0 MENTA.CIOCCOLATO GR GELATO FACE18 1";"GR";"250";"GR|250";0.959257779870901
"A";"109";"42849212";"2020";"5";"05050102";"05.6.1.2.0.00";"BERICA HYGIENE SMILEX FLEXI GRAN VINIL SCAT 1 100 GUA SENZA POLVERE";"SMILEX";"100UNI";"Guanti Usa e Getta";"GUANTI";"8024151807679";"80.69";"15";"5.38";"1";"3265.52";"421";"7.76";"28";"-97.5290305984958";"-30.6481254644487";"BERICA HYGIENE  FLEXI GRAN VINIL SCAT 1 100 GUA SENZA POLVERE";"BERICA HYGIENE SMILEX FLEXI GRAN VINIL SCAT 1 100 GUA SENZA POLVERE";"UNI";"100";"UNI|100";0.999870805078736
"B";"87548";"42849133";"2020";"5";"05050102";"05.6.1.2.0.00";"BERICA HYGIENE SMILEX FLEXI PICC VINIL SCAT 1 100 GUA SENZA POLVERE";"SMILEX";"100UNI";"Guanti Usa e Getta";"GUANTI";"8024151807631";"1057.59";"194";"5.45";"8";"5062.59";"674";"7.51";"30";"-79.1097047163606";"-27.4223761795208";"BERICA HYGIENE  FLEXI PICC VINIL SCAT 1 100 GUA SENZA POLVERE";"BERICA HYGIENE SMILEX FLEXI PICC VINIL SCAT 1 100 GUA SENZA POLVERE";"UNI";"100";"UNI|100";0.999870805078736
"A";"167";"36681602";"2020";"5";"01170405";"01.1.9.9.0.00";"EURO COMPANY EURO COMPANY NOBIO MANDORLE MANDORLE AFFETTATE 01 00060.0 GR 001 DECOR";"EURO COMPANY";"60GR";"Ingredienti per Pasticceria Decorazioni";"INGREDIENTI PER PASTICCERIA";"8009750915635";"30.68";"40";"0.77";"8";"221.44";"172";"1.29";"42";"-86.1452312138728";"-40.4244942196532";"  NOBIO MANDORLE MANDORLE AFFETTATE 01 00060.0 GR 001 DECOR";"EURO COMPANY EURO COMPANY NOBIO MANDORLE MANDORLE AFFETTATE 01 00060.0 GR 001 DECOR";"GR";"60";"GR|60";1
"B";"136480";"36690046";"2020";"5";"01170405";"01.1.9.9.0.00";"EURO COMPANY EURO COMPANY NOBIO MANDORLE MANDORLE SGUSCIATE A FETTE 01 00060.0 GR 001 DECOR";"EURO COMPANY";"60GR";"Ingredienti per Pasticceria Decorazioni";"INGREDIENTI PER PASTICCERIA";"8009750914027";"660.13";"420";"1.57";"34";"627.36";"399";"1.57";"34";"5.22347615404234";"-0.0376976536597807";"  NOBIO MANDORLE MANDORLE SGUSCIATE A FETTE 01 00060.0 GR 001 DECOR";"EURO COMPANY EURO COMPANY NOBIO MANDORLE MANDORLE SGUSCIATE A FETTE 01 00060.0 GR 001 DECOR";"GR";"60";"GR|60";1
